Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
"Alania, Divergent Storm",UR,R,45281,4.21,7456,5.67,15796,36.6%,49.3%,2594,47.5%,4631,51.1%,7225,49.8%,8611,48.8%,1.0pp
"Baylen, the Haymaker",WRG,R,44172,4.11,7262,5.59,12970,30.2%,51.6%,2067,49.7%,3119,52.5%,5186,51.4%,7781,51.8%,-0.4pp
Burrowguard Mentor,WG,U,94358,3.84,24724,4.46,112871,73.9%,57.1%,20119,61.4%,26164,59.8%,46283,60.5%,66533,54.8%,5.7pp
"Camellia, the Seedmiser",BG,R,25192,2.6,10886,2.59,51059,76.8%,56.3%,8755,58.9%,12836,62.7%,21591,61.2%,29009,52.5%,8.7pp
Cindering Cutthroat,BR,C,361891,5.75,51199,8.27,176427,57.1%,54.4%,30288,53.2%,38770,53.5%,69058,53.4%,107057,55.0%,-1.7pp
"Clement, the Worrywort",UG,R,31328,3.12,9858,3.36,41169,70.0%,54.4%,6989,54.8%,12181,58.5%,19170,57.1%,22107,52.1%,5.0pp
Corpseberry Cultivator,BG,C,341793,5.37,60250,7.43,235988,65.5%,53.9%,41204,51.9%,57980,55.1%,99184,53.8%,135466,53.8%,-0.1pp
Dreamdew Entrancer,UG,R,27509,2.76,11749,2.79,58233,79.2%,57.8%,9858,62.8%,16819,66.5%,26677,65.2%,31627,51.6%,13.6pp
"Finneas, Ace Archer",WG,R,25131,2.61,9414,2.61,42040,73.1%,56.0%,7618,62.2%,9829,58.5%,17447,60.1%,24533,53.2%,6.9pp
Fireglass Mentor,BR,U,120877,4.97,24615,6.1,87382,58.1%,56.7%,15399,59.3%,18878,57.0%,34277,58.0%,52924,55.9%,2.2pp
"Gev, Scaled Scorch",BR,R,28608,2.99,9300,2.97,38023,66.7%,57.3%,6879,64.5%,8160,58.3%,15039,61.2%,22902,54.7%,6.5pp
"Glarb, Calamity's Augur",UBG,M,14004,2.75,5144,2.87,21991,70.9%,55.1%,3695,58.5%,6261,62.9%,9956,61.2%,12050,50.2%,11.0pp
Head of the Homestead,WG,C,295079,4.39,64006,5.89,301717,77.5%,55.2%,47953,54.4%,70728,56.8%,118681,55.8%,181734,54.7%,1.1pp
"Helga, Skittish Seer",WUG,M,18323,3.45,3482,4.39,7288,35.6%,50.7%,1199,52.5%,1991,55.0%,3190,54.1%,4116,48.1%,5.9pp
"Hugs, Grisly Guardian",RG,M,13133,2.73,3946,2.8,13702,58.0%,54.1%,2182,56.6%,3193,59.7%,5375,58.4%,8353,51.4%,7.0pp
The Infamous Cruelclaw,BR,M,10768,2.26,4113,2.24,16110,65.3%,53.8%,2743,56.3%,3744,53.2%,6487,54.5%,9634,53.4%,1.2pp
Junkblade Bruiser,RG,C,372503,6.0,46136,9.0,122648,44.6%,52.4%,18963,51.6%,28915,53.1%,47878,52.5%,74952,52.4%,0.2pp
"Kastral, the Windcrested",WU,R,27234,2.87,8943,3.01,35219,66.4%,53.0%,5892,54.1%,9500,57.9%,15392,56.4%,19862,50.3%,6.1pp
Lilysplash Mentor,UG,U,104524,4.17,25713,5.05,112923,72.8%,55.0%,18954,54.6%,33324,60.4%,52278,58.3%,60944,52.1%,6.2pp
Lunar Convocation,WB,R,34322,3.42,7535,4.08,27495,61.2%,53.7%,4745,51.1%,6318,55.0%,11063,53.3%,16222,53.8%,-0.4pp
"Mabel, Heir to Cragflame",WR,R,22712,2.44,9029,2.36,41142,73.9%,56.9%,7178,64.7%,9243,63.4%,16421,64.0%,24639,52.3%,11.7pp
Mind Drill Assailant,UB,C,396571,6.9,50579,10.04,89051,29.7%,51.1%,14333,49.1%,23965,54.1%,38298,52.2%,50363,50.1%,2.1pp
Moonrise Cleric,WB,C,312393,4.7,47515,6.72,203731,70.9%,54.8%,36103,55.2%,47223,55.9%,83326,55.6%,117811,54.0%,1.6pp
"Muerra, Trash Tactician",RG,R,31869,3.22,8243,3.59,29289,59.3%,54.2%,5173,60.1%,6593,56.4%,11766,58.0%,17606,51.6%,6.4pp
Plumecreed Mentor,WU,U,134083,5.49,19621,7.61,48163,41.2%,52.9%,8198,55.5%,12542,55.9%,20740,55.7%,27216,50.6%,5.1pp
Pond Prophet,UG,C,303791,4.6,64773,6.07,300057,76.6%,55.1%,56025,57.6%,81985,58.1%,138010,57.9%,161810,52.8%,5.1pp
"Ral, Crackling Wit",UR,M,10528,2.19,4282,2.17,16994,67.1%,53.7%,2912,58.6%,4897,60.3%,7809,59.6%,9028,48.4%,11.3pp
Seedglaive Mentor,WR,U,108738,4.5,18970,5.73,73854,64.9%,54.0%,12873,54.3%,16150,52.3%,29023,53.2%,44833,54.6%,-1.4pp
Seedpod Squire,WU,C,373172,6.01,45524,8.96,126961,47.0%,52.4%,20417,51.2%,30654,53.5%,51071,52.6%,75626,52.1%,0.4pp
Starseer Mentor,WB,U,105223,4.2,20300,5.44,82979,67.8%,54.7%,13410,54.0%,19784,57.4%,33194,56.0%,48001,53.1%,2.9pp
Stormcatch Mentor,UR,U,143917,6.21,18050,8.77,38039,35.8%,51.4%,6662,53.0%,10931,52.6%,17593,52.7%,20435,50.2%,2.5pp
Tempest Angler,UR,C,373542,6.61,43313,9.58,95999,37.8%,50.8%,16665,50.8%,26964,52.5%,43629,51.9%,52397,49.9%,2.0pp
Tidecaller Mentor,UB,U,146163,5.92,23623,8.13,61025,43.3%,53.5%,10269,52.4%,17422,58.6%,27691,56.3%,32996,51.0%,5.3pp
Veteran Guardmouse,WR,C,378859,6.26,46263,9.22,122278,44.2%,53.2%,19371,51.9%,26883,52.0%,46254,52.0%,76006,53.9%,-1.9pp
Vinereap Mentor,BG,U,102843,4.12,29980,4.69,138898,75.3%,57.2%,24448,62.8%,34515,60.8%,58963,61.6%,78715,53.7%,7.9pp
"Vren, the Relentless",UB,R,25496,2.65,11127,2.64,50818,76.2%,54.6%,8542,59.5%,14352,60.6%,22894,60.2%,27696,49.8%,10.3pp
Wandertale Mentor,RG,U,113470,4.73,20662,5.95,69143,55.2%,55.2%,12325,62.9%,15149,54.8%,27474,58.4%,41783,53.2%,5.3pp
"Ygra, Eater of All",BG,M,7774,1.59,5344,1.56,28215,85.2%,56.7%,4761,61.3%,7489,63.7%,12250,62.7%,15953,52.0%,10.8pp
"Zoraline, Cosmos Caller",WB,R,21269,2.27,9387,2.19,44832,78.0%,56.9%,7830,60.2%,10851,63.6%,18681,62.2%,25196,52.5%,9.7pp
Barkform Harvester,,C,411326,7.21,51753,10.53,66411,21.4%,52.4%,11056,48.6%,16655,54.5%,27711,52.1%,38466,52.6%,-0.5pp
Bumbleflower's Sharepot,,C,395822,6.47,48204,9.63,99650,34.6%,52.2%,16854,48.7%,24768,55.5%,41622,52.8%,57659,51.8%,1.0pp
Fountainport Bell,,C,384185,6.08,59016,8.72,199792,56.4%,53.8%,37209,52.7%,48840,54.7%,86049,53.8%,113165,53.8%,0.1pp
Heirloom Epic,,U,162636,6.51,19870,9.72,28247,23.7%,54.4%,4780,52.8%,6356,54.5%,11136,53.8%,17075,54.8%,-1.1pp
Patchwork Banner,,U,83436,3.12,26956,3.68,150428,90.7%,56.4%,27289,59.4%,36443,58.7%,63732,59.0%,86130,54.4%,4.6pp
Short Bow,,U,135540,4.97,18818,7.25,64687,57.5%,53.0%,10906,52.2%,14224,52.8%,25130,52.6%,39448,53.3%,-0.7pp
Starforged Sword,,U,160039,6.47,17229,9.91,20599,20.1%,50.9%,3186,47.8%,4772,49.2%,7958,48.7%,12607,52.2%,-3.6pp
Tangle Tumbler,,U,157456,6.19,20082,9.2,33758,28.1%,54.2%,5462,52.6%,7966,54.6%,13428,53.8%,20344,54.5%,-0.7pp
Three Tree Mascot,,C,397757,6.53,54048,9.56,125057,38.5%,52.4%,22969,52.2%,28698,51.9%,51667,52.0%,73048,52.6%,-0.6pp
Fabled Passage,,R,35110,2.96,8899,3.76,51899,96.2%,55.1%,9676,56.6%,12352,55.7%,22028,56.1%,29798,54.4%,1.7pp
Fountainport,,R,35204,3.12,8380,3.84,43735,86.5%,54.6%,7215,54.8%,10809,57.4%,18024,56.3%,25616,53.4%,3.0pp
Hidden Grotto,,C,381425,5.84,57466,8.56,248126,71.9%,54.1%,45269,53.5%,58331,55.3%,103600,54.5%,144195,53.8%,0.7pp
Lilypad Village,,U,162012,6.73,19893,9.9,49938,42.4%,52.9%,8666,52.2%,13345,54.2%,22011,53.4%,27878,52.6%,0.9pp
Lupinflower Village,,U,151894,5.7,20541,8.35,87214,69.7%,56.2%,15102,56.5%,18983,57.0%,34085,56.8%,53036,55.8%,1.0pp
Mudflat Village,,U,146389,5.44,23165,7.76,106092,75.0%,56.1%,18245,56.3%,24849,58.3%,43094,57.5%,62616,55.1%,2.3pp
Oakhollow Village,,U,136392,4.97,21144,7.22,103589,81.3%,54.7%,18013,54.3%,24442,53.5%,42455,53.9%,61053,55.2%,-1.4pp
Rockface Village,,U,146964,5.7,19055,8.28,76228,66.3%,54.8%,13430,55.3%,16223,53.4%,29653,54.2%,46544,55.1%,-0.8pp
Three Tree City,,R,50151,4.38,5605,6.88,7878,23.5%,51.5%,1344,49.8%,1951,53.1%,3295,51.7%,4574,51.4%,0.4pp
Uncharted Haven,,C,361643,5.32,62752,7.67,316769,83.9%,54.5%,58588,55.5%,74441,52.6%,133029,53.9%,183569,54.9%,-1.0pp
Swords to Plowshares,W,M,1534,1.77,840,1.81,4424,86.6%,55.8%,759,55.5%,1048,60.9%,1807,58.6%,2603,53.7%,4.9pp
Ledger Shredder,U,M,2122,2.27,822,2.34,4065,82.8%,54.3%,743,59.9%,1165,56.4%,1908,57.8%,2150,51.2%,6.6pp
Rat Colony,B,M,4696,4.6,556,7.0,632,18.9%,49.4%,126,,154,,280,,352,,
Relentless Rats,B,M,5043,4.97,575,7.89,59,1.7%,,7,,18,,25,,33,,
Kindred Charge,R,M,3742,4.07,504,5.83,702,24.3%,51.3%,83,,143,,226,,473,,
Sylvan Tutor,G,M,3328,3.56,448,,771,29.6%,47.7%,118,,180,,298,,470,,
"Toski, Bearer of Secrets",G,M,1359,1.62,800,1.65,4339,89.8%,54.7%,757,58.3%,1085,55.0%,1842,56.4%,2492,53.5%,2.9pp
Frogmite,,M,5586,5.49,608,8.51,11,0.3%,,0,,4,,4,,7,,
Sword of Fire and Ice,,M,953,1.08,890,1.08,5628,99.3%,58.0%,1025,64.6%,1363,65.6%,2388,65.2%,3213,52.6%,12.5pp
Secluded Courtyard,,M,4040,4.0,448,,1018,38.1%,52.8%,182,,226,,408,,610,52.1%,
Aeronaut Cavalry,W,C,255484,5.14,48849,6.81,229637,74.5%,58.0%,36187,57.7%,57564,58.8%,93751,58.4%,135896,57.7%,0.6pp
Airlift Chaplain,W,C,251387,4.97,57693,6.28,285430,77.7%,58.6%,50141,59.1%,71042,58.8%,121183,58.9%,162864,58.4%,0.5pp
Ambush Paratrooper,W,C,235785,4.61,50543,5.94,273510,85.4%,58.2%,48744,58.6%,66897,58.5%,115641,58.6%,156584,57.9%,0.6pp
Calamity's Wake,W,U,127683,9.32,14780,13.14,204,0.2%,,31,,44,,75,,129,,
Deadly Riposte,W,C,287128,6.03,30338,9.13,74660,40.3%,53.6%,12724,52.5%,19164,53.6%,31888,53.1%,42736,53.9%,-0.8pp
Disenchant,W,C,246877,4.87,41247,6.68,179213,70.1%,56.1%,29680,54.5%,45763,57.6%,75443,56.4%,103695,55.9%,0.5pp
Great Desert Prospector,W,U,100130,5.76,12338,8.36,25996,34.8%,52.2%,3955,49.1%,6821,52.4%,10776,51.2%,15208,53.0%,-1.8pp
In the Trenches,W,M,4126,1.45,2956,1.42,16009,85.3%,57.9%,2737,61.2%,4227,61.6%,6964,61.4%,9051,55.2%,6.3pp
Kayla's Command,W,R,11289,1.94,5619,1.97,29223,83.8%,56.8%,4953,58.7%,7545,59.0%,12498,58.9%,16715,55.3%,3.5pp
Kayla's Reconstruction,W,R,24403,4.02,4051,5.36,9691,39.1%,54.3%,1464,52.8%,2480,54.4%,3944,53.8%,5746,54.7%,-0.9pp
Lay Down Arms,W,U,84811,4.69,12602,6.57,46026,59.4%,55.0%,7661,53.2%,11619,53.7%,19280,53.5%,26726,56.1%,-2.6pp
Loran of the Third Path,W,R,9712,1.73,6153,1.72,34857,88.1%,59.1%,6189,62.2%,9208,62.9%,15397,62.6%,19279,56.2%,6.4pp
"Loran, Disciple of History",W,U,75303,3.98,15549,5.13,62495,66.1%,54.3%,10174,51.5%,16656,55.2%,26830,53.8%,35651,54.7%,-0.9pp
Loran's Escape,W,C,315357,7.24,43515,10.15,117843,43.2%,57.6%,18731,57.4%,29134,57.6%,47865,57.5%,69934,57.6%,-0.0pp
Mass Production,W,U,105649,6.15,13937,8.92,29418,34.4%,54.4%,4351,52.7%,7351,55.0%,11702,54.2%,17701,54.6%,-0.5pp
Meticulous Excavation,W,U,122490,8.25,15047,11.84,6053,6.5%,50.4%,939,43.8%,1664,51.7%,2603,48.9%,3444,51.4%,-2.6pp
Military Discipline,W,C,330826,8.24,48491,11.07,98127,32.3%,57.8%,15506,57.0%,23582,56.5%,39088,56.7%,59003,58.5%,-1.8pp
"Myrel, Shield of Argive",W,M,3594,1.22,2951,1.2,16845,90.4%,57.9%,2822,63.2%,4456,62.9%,7278,63.0%,9580,54.0%,8.9pp
Phalanx Vanguard,W,C,256292,5.04,49050,6.71,252230,81.9%,57.3%,45055,58.2%,59901,55.0%,104956,56.4%,146460,58.0%,-1.6pp
Powerstone Engineer,W,C,272579,5.4,41202,7.6,170883,67.0%,55.3%,30542,56.1%,41195,53.8%,71737,54.8%,98672,55.7%,-0.9pp
Prison Sentence,W,C,172679,3.27,50706,4.01,279978,87.7%,57.7%,47989,57.0%,72458,59.8%,120447,58.7%,159356,56.9%,1.8pp
Recommission,W,C,279401,5.71,44842,7.95,169432,60.9%,56.3%,27584,54.0%,42646,56.4%,70230,55.5%,99141,56.9%,-1.4pp
Recruitment Officer,W,U,61746,3.22,20490,3.78,112443,85.9%,58.9%,20075,63.1%,27445,58.4%,47520,60.4%,64544,57.8%,2.6pp
Repair and Recharge,W,U,102372,6.01,11456,9.03,17792,25.8%,51.0%,2664,47.4%,4904,52.9%,7568,51.0%,10217,51.1%,-0.1pp
Siege Veteran,W,R,7837,1.34,6435,1.33,39054,93.5%,60.9%,7177,71.1%,9968,65.0%,17145,67.6%,21706,55.6%,12.0pp
Soul Partition,W,R,22468,3.63,4816,4.6,18351,62.3%,56.4%,3045,57.4%,4508,57.8%,7553,57.6%,10788,55.6%,2.1pp
Static Net,W,U,42592,2.29,20946,2.52,119464,89.2%,59.1%,19974,61.2%,31780,63.6%,51754,62.6%,67649,56.4%,6.2pp
Survivor of Korlis,W,C,313491,7.43,36969,10.71,82640,36.0%,55.6%,14503,56.0%,19163,52.2%,33666,53.9%,48738,56.8%,-2.9pp
Thopter Architect,W,U,98916,5.56,13257,7.89,35299,44.1%,52.2%,5685,48.5%,8885,51.3%,14570,50.2%,20722,53.6%,-3.4pp
Tocasia's Welcome,W,R,11712,2.04,5534,2.03,28501,84.0%,55.7%,4956,58.5%,7298,53.5%,12254,55.5%,16236,55.9%,-0.3pp
Union of the Third Path,W,C,334691,9.27,30809,13.58,4050,2.1%,48.4%,651,46.5%,1184,50.7%,1835,49.2%,2213,47.7%,1.5pp
Warlord's Elite,W,C,255210,5.06,47892,6.77,232233,77.7%,56.7%,38555,56.2%,58005,55.8%,96560,55.9%,134728,57.3%,-1.4pp
Yotian Medic,W,C,313506,7.35,33161,10.94,58782,28.8%,53.9%,10146,52.9%,14187,51.3%,24333,51.9%,34256,55.3%,-3.4pp
Autonomous Assembler,W,R,7754,1.34,6175,1.33,36945,95.9%,56.8%,6460,60.6%,9741,57.8%,16201,58.9%,19289,54.6%,4.3pp
Combat Thresher,W,U,47323,2.49,19873,2.85,110788,88.7%,57.5%,19221,59.6%,28997,59.6%,48218,59.6%,62471,55.9%,3.7pp
Platoon Dispenser,W,M,3134,1.09,3002,1.09,18860,98.7%,58.6%,3234,64.1%,5116,64.6%,8350,64.4%,10506,53.9%,10.5pp
Scrapwork Cohort,W,C,197868,3.78,71013,4.36,410130,90.9%,58.4%,70260,59.2%,105781,59.4%,176041,59.3%,233796,57.8%,1.6pp
Steel Seraph,W,R,6643,1.11,6304,1.1,40127,99.1%,59.1%,6893,64.7%,11134,65.7%,18027,65.3%,22066,54.0%,11.4pp
Tocasia's Onulet,W,C,323287,7.24,38483,10.61,62545,26.4%,54.3%,9821,53.8%,16574,54.4%,26395,54.2%,36114,54.4%,-0.3pp
Urza's Sylex,W,M,8546,2.94,1880,3.34,3894,34.6%,52.0%,646,46.7%,1055,53.7%,1701,51.1%,2186,52.8%,-1.7pp
Veteran's Powerblade,W,C,337447,8.78,35920,12.52,28512,12.9%,54.8%,4532,50.0%,6755,51.5%,11287,50.9%,17209,57.3%,-6.4pp
Yotian Frontliner,W,U,87137,4.51,16564,6.09,80101,76.7%,58.0%,14569,60.0%,18710,56.3%,33279,58.0%,46579,58.1%,-0.1pp
Air Marshal,U,C,309147,7.08,42468,9.86,114617,43.9%,56.3%,20197,55.2%,28204,55.2%,48401,55.2%,65825,57.2%,-2.0pp
Curate,U,C,317480,7.44,36669,10.75,68387,30.3%,54.3%,11931,52.1%,19479,55.7%,31410,54.3%,36664,54.3%,0.0pp
Defabricate,U,U,116770,7.54,12030,11.32,8098,11.0%,51.8%,1330,51.1%,2255,51.9%,3585,51.6%,4489,51.8%,-0.2pp
Desynchronize,U,C,335428,8.65,47169,11.7,64935,22.1%,57.2%,10169,56.1%,18599,58.5%,28768,57.7%,35982,56.8%,0.9pp
"Drafna, Founder of Lat-Nam",U,R,13398,2.31,4998,2.39,22355,75.3%,52.7%,3935,50.5%,6485,55.8%,10420,53.8%,11899,51.7%,2.0pp
Fallaji Archaeologist,U,C,327309,8.14,47690,10.9,92883,31.3%,57.4%,16405,58.0%,26966,58.1%,43371,58.1%,49376,56.8%,1.3pp
Flow of Knowledge,U,U,119841,7.9,14519,11.21,11526,12.9%,52.7%,1883,50.5%,3490,55.4%,5373,53.7%,6089,51.8%,1.9pp
Forging the Anchor,U,U,120223,8.13,12559,12.11,3323,4.4%,45.7%,568,38.2%,983,49.7%,1551,45.5%,1763,45.9%,-0.4pp
"Hurkyl, Master Wizard",U,R,16558,2.81,4762,3.14,19718,68.2%,54.9%,3336,56.2%,5683,54.8%,9019,55.3%,10647,54.5%,0.8pp
Hurkyl's Final Meditation,U,R,35554,5.82,4403,8.85,483,1.8%,,72,,143,,215,,266,,
Involuntary Cooldown,U,U,110181,6.56,14604,9.42,31154,34.9%,54.7%,4988,51.2%,8386,57.0%,13374,54.8%,17698,54.5%,0.3pp
Keeper of the Cadence,U,U,125902,8.64,15373,12.25,4940,5.2%,50.2%,766,47.0%,1505,51.0%,2271,49.7%,2659,50.5%,-0.8pp
Koilos Roc,U,C,283247,5.94,37289,8.54,121479,53.2%,54.5%,19711,54.4%,35095,56.3%,54806,55.6%,66577,53.6%,2.0pp
Lat-Nam Adept,U,C,313153,7.48,34052,10.88,65653,32.0%,50.9%,10683,48.6%,20257,52.0%,30940,50.8%,34551,50.9%,-0.1pp
Machine Over Matter,U,C,316085,7.18,45286,9.91,131109,46.6%,57.5%,21551,55.8%,36895,59.5%,58446,58.1%,72253,57.0%,1.2pp
Mightstone's Animation,U,C,277975,5.89,60485,7.42,235566,62.4%,57.0%,39006,56.6%,70074,58.7%,109080,58.0%,125752,56.1%,1.8pp
One with the Multiverse,U,M,9231,3.2,1995,3.66,4262,35.2%,51.0%,641,49.0%,1267,54.1%,1908,52.4%,2345,49.8%,2.6pp
Retrieval Agent,U,C,336872,8.95,35764,12.74,20470,9.4%,52.7%,3294,51.0%,5142,51.2%,8436,51.1%,12025,53.8%,-2.7pp
Scatter Ray,U,C,303617,6.82,39191,9.64,104841,43.8%,54.3%,18250,55.0%,28916,54.2%,47166,54.5%,57351,54.0%,0.4pp
Skystrike Officer,U,R,8078,1.43,6278,1.4,37222,92.0%,59.6%,6690,67.8%,10195,63.8%,16885,65.4%,20241,54.7%,10.7pp
Splitting the Powerstone,U,U,125595,8.84,13569,12.77,1310,1.6%,43.0%,215,,380,,595,40.3%,714,45.1%,-4.8pp
Stern Lesson,U,C,266943,5.4,47557,7.22,210201,71.3%,56.3%,36162,56.8%,60884,57.3%,97046,57.1%,112503,55.5%,1.6pp
Take Flight,U,U,76171,4.16,14906,5.43,60692,66.9%,54.3%,9739,51.9%,17131,56.5%,26870,54.8%,33634,53.9%,1.0pp
"Teferi, Temporal Pilgrim",U,M,3429,1.18,2817,1.15,14817,86.2%,56.3%,2489,59.7%,4636,61.0%,7125,60.5%,7629,52.4%,8.2pp
Third Path Savant,U,C,315192,7.23,38638,10.35,88444,37.6%,52.7%,15283,50.2%,25344,54.3%,40627,52.7%,47647,52.7%,0.0pp
Thopter Mechanic,U,U,59967,3.17,21215,3.56,112817,84.3%,58.4%,20125,65.3%,32512,59.4%,52637,61.6%,59899,55.5%,6.2pp
"Urza, Powerstone Prodigy",U,U,80806,4.44,13573,5.8,53128,65.4%,52.7%,9279,51.6%,15214,53.2%,24493,52.6%,28536,52.7%,-0.1pp
Urza's Command,U,R,12172,2.12,5523,2.16,27076,80.4%,56.2%,4461,55.1%,7939,59.5%,12400,57.9%,14587,54.7%,3.3pp
Urza's Rebuff,U,C,321163,7.91,34652,11.5,45929,21.6%,54.9%,7282,54.3%,13406,56.5%,20688,55.7%,25046,54.1%,1.6pp
Weakstone's Subjugation,U,C,243343,4.75,44306,6.43,216501,79.1%,56.1%,36237,54.4%,61202,58.3%,97439,56.9%,118344,55.3%,1.5pp
Wing Commando,U,C,237297,4.67,41064,6.3,198301,78.2%,56.1%,34390,56.1%,53498,56.2%,87888,56.2%,109823,56.0%,0.1pp
Zephyr Sentinel,U,U,60404,3.23,20090,3.7,105927,83.0%,58.7%,18633,60.4%,28939,61.0%,47572,60.8%,58010,57.0%,3.8pp
Arcane Proxy,U,M,5149,1.77,2397,1.76,8844,62.0%,53.1%,1477,50.0%,2524,56.1%,4001,53.9%,4788,52.4%,1.5pp
Coastal Bulwark,,C,327421,7.86,38294,11.12,74029,31.9%,52.7%,13504,52.9%,20654,53.7%,34158,53.4%,39623,52.2%,1.2pp
Combat Courier,U,C,268518,5.15,58954,6.76,286498,77.6%,57.5%,52871,58.7%,78386,57.8%,131257,58.1%,154442,56.9%,1.2pp
Depth Charge Colossus,U,C,327196,8.02,29698,11.99,26255,14.7%,49.9%,3999,48.8%,7671,51.7%,11670,50.7%,14512,49.3%,1.4pp
Hulking Metamorph,U,U,67565,3.57,13394,4.54,59040,74.1%,53.6%,9452,51.3%,17164,55.6%,26616,54.0%,32248,53.2%,0.9pp
Spotter Thopter,U,U,75553,3.93,13391,5.22,58980,72.9%,54.0%,9777,51.9%,17172,56.7%,26949,55.0%,31827,53.2%,1.8pp
Surge Engine,U,M,3864,1.3,3181,1.28,17982,89.3%,58.8%,3318,65.6%,5188,62.7%,8506,63.8%,9402,54.3%,9.5pp
The Temporal Anchor,U,R,20692,3.54,4927,4.14,15343,52.3%,52.2%,2520,49.7%,4517,54.9%,7037,53.0%,8272,51.5%,1.5pp
Terisian Mindbreaker,U,R,18453,3.18,2480,4.04,6537,45.0%,48.6%,1011,46.1%,1913,50.1%,2924,48.7%,3580,48.3%,0.4pp
"Ashnod, Flesh Mechanist",B,R,11512,1.94,6177,1.95,32425,84.9%,56.5%,5707,59.9%,8968,59.2%,14675,59.5%,17727,53.9%,5.6pp
Ashnod's Intervention,B,C,335469,8.83,35103,12.75,15214,7.1%,51.5%,2487,49.1%,4095,52.9%,6582,51.5%,8622,51.6%,-0.1pp
Battlefield Butcher,B,U,83547,4.41,14633,5.91,61280,70.5%,52.6%,10605,50.9%,16896,53.4%,27501,52.4%,33731,52.7%,-0.3pp
Carrion Locust,B,C,314917,7.17,36776,10.51,73748,33.0%,52.9%,12503,51.4%,20138,54.2%,32641,53.1%,40988,52.7%,0.4pp
Corrupt,B,U,99153,5.77,16728,7.66,41696,41.4%,52.7%,6675,50.5%,12248,57.5%,18923,55.1%,22725,50.7%,4.3pp
Diabolic Intent,B,R,25828,4.31,3421,6.21,4753,23.5%,50.1%,791,43.2%,1288,52.6%,2079,49.1%,2670,51.0%,-1.9pp
Disciples of Gix,B,U,123396,8.13,15607,11.5,6863,7.2%,51.4%,1028,50.2%,1997,52.1%,3025,51.5%,3836,51.3%,0.2pp
Disfigure,B,C,215993,4.13,51179,5.28,251435,80.3%,55.5%,43921,56.1%,70732,57.6%,114653,57.0%,136558,54.3%,2.7pp
Dreams of Steel and Oil,B,U,109065,6.63,11885,10.05,15744,22.0%,51.7%,2803,54.4%,4315,50.9%,7118,52.3%,8608,51.2%,1.1pp
Emergency Weld,B,C,271046,5.42,50794,7.35,214920,69.4%,54.9%,35078,53.0%,60619,57.7%,95697,56.0%,119104,54.1%,1.9pp
Fateful Handoff,B,R,38050,6.4,5084,9.55,263,0.8%,,30,,75,,105,,158,,
"Gix, Yawgmoth Praetor",B,M,3852,1.33,2939,1.31,15855,86.6%,56.3%,2778,61.7%,4544,59.6%,7322,60.4%,8522,52.8%,7.6pp
Gix's Caress,B,C,309985,7.01,51137,9.44,132246,42.0%,55.7%,22309,58.3%,37317,56.6%,59626,57.2%,72534,54.3%,2.9pp
Gix's Command,B,R,8419,1.48,6474,1.45,37180,89.2%,59.2%,6337,64.2%,10704,69.0%,17041,67.2%,20060,52.4%,14.8pp
Gixian Infiltrator,B,C,294842,6.38,44615,8.87,158816,58.7%,53.7%,27840,55.0%,42721,53.3%,70561,53.9%,88221,53.5%,0.4pp
Gixian Puppeteer,B,R,9569,1.64,6355,1.61,35019,89.0%,56.6%,5953,58.7%,10377,61.2%,16330,60.3%,18692,53.4%,6.9pp
Gixian Skullflayer,B,C,285492,6.06,32043,9.02,94085,49.5%,51.2%,16015,48.8%,25731,51.6%,41746,50.5%,52242,51.8%,-1.2pp
Gnawing Vermin,B,U,100072,5.48,16410,7.59,58455,58.5%,54.5%,10314,57.3%,15805,54.9%,26119,55.8%,32278,53.4%,2.5pp
Go for the Throat,B,U,44412,2.38,17732,2.73,95016,88.3%,54.9%,16530,55.3%,26743,57.8%,43273,56.8%,51639,53.4%,3.5pp
Gruesome Realization,B,U,86561,4.69,13494,6.5,47137,58.3%,52.7%,7940,51.8%,13437,55.1%,21377,53.9%,25690,51.8%,2.1pp
Gurgling Anointer,B,U,66498,3.54,17170,4.32,81379,78.3%,54.8%,14209,55.3%,24046,56.9%,38255,56.4%,43031,53.4%,2.9pp
Hostile Negotiations,B,R,23007,3.81,4372,4.8,12665,48.9%,51.4%,2081,51.3%,3590,52.3%,5671,51.9%,6981,51.0%,0.9pp
Kill-Zone Acrobat,B,C,318874,7.41,44161,10.28,104608,39.1%,53.2%,17831,52.4%,27805,52.7%,45636,52.6%,58917,53.6%,-1.0pp
Misery's Shadow,B,R,8540,1.46,6432,1.45,36502,89.9%,57.8%,6550,64.7%,10248,62.0%,16798,63.1%,19655,53.2%,9.8pp
Moment of Defiance,B,C,316915,7.1,51838,9.7,141058,44.2%,56.1%,22816,56.0%,40350,59.3%,63166,58.1%,77710,54.4%,3.7pp
No One Left Behind,B,U,87610,4.73,13999,6.55,47485,57.1%,52.5%,7513,49.6%,13517,54.4%,21030,52.7%,26418,52.4%,0.4pp
Overwhelming Remorse,B,C,138657,2.73,54315,3.2,299009,89.5%,55.8%,49136,55.0%,85212,59.8%,134348,58.1%,164260,53.9%,4.1pp
Painful Quandary,B,R,20047,3.53,2840,4.67,6651,40.0%,47.4%,1088,45.4%,1948,48.7%,3036,47.5%,3598,47.4%,0.1pp
